Time (sec),500 nM IL-6,750 nM IL-6,1 uM IL-6,500 nM HSA,750 nM HSA,1 uM HSA
0,0,0,0,0,0,0
3,0.004943333,0.004097333,0.013033333,0.002430833,0.002902,-0.004076667
6,0.010155,0.00798,0.029556667,0.004436667,0.006348667,-0.00899
9,0.0151425,0.012152,0.049456667,0.00551,0.009928,-0.01216
12,0.020583333,0.016562667,0.074103333,0.00774,0.013814,-0.01564
15,0.02744,0.021651333,0.10094,0.0080525,0.016739333,-0.01942
18,0.033449167,0.027546,0.12745,0.0093175,0.021268667,-0.02301
21,0.040193333,0.033093333,0.15609,0.009468333,0.024584,-0.023953333
24,0.045756667,0.038644667,0.18489,0.00994,0.028412667,-0.024073333
27,0.0523025,0.043556,0.21261,0.01031,0.031426667,-0.023443333
30,0.0589425,0.049504,0.241553333,0.011009167,0.034960667,-0.019226667
33,0.065654167,0.055350667,0.271866667,0.011375,0.038326,-0.013493333
36,0.071715,0.06028,0.302256667,0.011134167,0.040237333,-0.00699
39,0.077675833,0.065448667,0.330696667,0.0123925,0.042265333,-0.001716667
42,0.082044167,0.071202667,0.358976667,0.013581667,0.044064,0.004613333
45,0.086661667,0.07519,0.387086667,0.014610833,0.046138667,0.011586667
48,0.093044167,0.078916,0.415423333,0.016526667,0.047116667,0.019523333
51,0.0994925,0.083882,0.442626667,0.016701667,0.049379333,0.025483333
54,0.106170833,0.089948,0.468843333,0.01742,0.050604,0.03047
57,0.1119825,0.096524667,0.494126667,0.0189725,0.051856,0.034933333
60,0.119183333,0.103910667,0.51603,0.019355833,0.051188667,0.036613333
63,0.125636667,0.112803333,0.53576,0.019075,0.052602667,0.03771
66,0.133706667,0.123167333,0.554956667,0.019313333,0.053952667,0.037066667
69,0.141580833,0.134961333,0.573286667,0.018984167,0.055621333,0.036756667
72,0.149930833,0.146617333,0.58843,0.0185275,0.05588,0.035963333
75,0.158838333,0.160516667,0.60281,0.019618333,0.056947333,0.036053333
78,0.166544167,0.176503333,0.61619,0.022803333,0.058012,0.035226667
81,0.1748725,0.192726,0.628783333,0.026295,0.058476,0.03384
84,0.182794167,0.209086,0.639176667,0.027183333,0.058859333,0.032646667
87,0.191889167,0.2272,0.648203333,0.0270675,0.058997333,0.031553333
90,0.200055833,0.244877333,0.65754,0.026779167,0.061354667,0.030526667
93,0.209563333,0.261418,0.66521,0.026474167,0.062655333,0.02737
96,0.217108333,0.278468,0.67133,0.025416667,0.065027333,0.025436667
99,0.2245775,0.294943333,0.67751,0.025379167,0.06799,0.024656667
102,0.2321675,0.311402,0.684876667,0.024258333,0.070761333,0.02358
105,0.239254167,0.327524,0.691153333,0.022505833,0.073755333,0.022523333
108,0.246120833,0.342908,0.69719,0.017345833,0.076297333,0.021346667
111,0.251749167,0.35801,0.702243333,0.013046667,0.079946,0.0209
114,0.2584075,0.373385333,0.70817,0.010415,0.083380667,0.01943
117,0.2634975,0.387027333,0.713376667,0.009351667,0.087312,0.02002
120,0.269474167,0.401318,0.719116667,0.007709167,0.089668667,0.02234
123,0.273701667,0.415489333,0.724626667,0.007250833,0.091982667,0.02413
126,0.278218333,0.42891,0.72936,0.0072075,0.093968667,0.02709
129,0.283401667,0.440991333,0.733646667,0.007265833,0.095214,0.029203333
132,0.287688333,0.4538,0.737256667,0.0082525,0.097192667,0.03205
135,0.290679167,0.46514,0.741073333,0.010325,0.098333333,0.035076667
138,0.2937625,0.474595333,0.744646667,0.011908333,0.100999333,0.037616667
141,0.296908333,0.483055333,0.748876667,0.013755833,0.102747333,0.041876667
144,0.297644167,0.490236667,0.752383333,0.016076667,0.104433333,0.048323333
147,0.299235,0.49752,0.755393333,0.018433333,0.105048667,0.051553333
150,0.299605833,0.503165333,0.757156667,0.020694167,0.106470667,0.05341
153,0.300668333,0.508437333,0.758663333,0.0216575,0.107412,0.05687
156,0.301331667,0.512496,0.75937,0.023779167,0.107669333,0.059333333
159,0.302945833,0.516785333,0.760086667,0.025495833,0.108159333,0.06202
162,0.304044167,0.519297333,0.76036,0.027014167,0.107446667,0.06387
165,0.305880833,0.522530667,0.759746667,0.026808333,0.108037333,0.065036667
168,0.307416667,0.525765333,0.75759,0.028735,0.107421333,0.067883333
171,0.308299167,0.528319333,0.756813333,0.030586667,0.107888,0.068363333
174,0.31053,0.530169333,0.754863333,0.0322625,0.107656,0.067623333
177,0.310985833,0.531443333,0.754546667,0.032069167,0.108456,0.069213333
180,0.3118575,0.532958,0.754123333,0.033881667,0.108393333,0.069906667
183,0.311883333,0.53557,0.75361,0.036185833,0.107518,0.06904
186,0.312418333,0.537384667,0.753826667,0.03721,0.107578667,0.068583333
189,0.311623333,0.53945,0.751836667,0.037953333,0.108102667,0.067593333
192,0.312763333,0.541802667,0.750433333,0.0385525,0.109398667,0.066046667
195,0.3127825,0.542414667,0.749676667,0.0390975,0.109569333,0.064093333
198,0.312013333,0.544275333,0.750303333,0.039139167,0.109363333,0.06049
201,0.31198,0.54507,0.748786667,0.038726667,0.109688,0.058526667
204,0.311130833,0.545489333,0.74869,0.0392775,0.110628667,0.056896667
207,0.310681667,0.546592667,0.74794,0.040164167,0.11015,0.053596667
210,0.310690833,0.547970667,0.747503333,0.039979167,0.110024667,0.05047
213,0.310840833,0.546098667,0.74728,0.040136667,0.111776,0.048706667
216,0.311150833,0.544670667,0.747203333,0.041115833,0.112286667,0.045713333
219,0.3106875,0.544596667,0.74723,0.041120833,0.111898,0.042983333
222,0.30928,0.543643333,0.746803333,0.040750833,0.111930667,0.040296667
225,0.3091175,0.543372667,0.74662,0.041396667,0.113176,0.038806667
228,0.308634167,0.542120667,0.746273333,0.040848333,0.113782,0.037073333
231,0.307725833,0.541738,0.74606,0.040866667,0.113144667,0.034083333
234,0.307420833,0.542675333,0.74501,0.0397925,0.114557333,0.031156667
237,0.308260833,0.540424667,0.74419,0.039750833,0.116078,0.029306667
240,0.306718333,0.538106,0.74423,0.03867,0.11684,0.027276667
243,0.306128333,0.538172667,0.743023333,0.038894167,0.116790667,0.02621
246,0.305073333,0.538523333,0.743943333,0.0381575,0.117509333,0.026056667
249,0.304955,0.536831333,0.744726667,0.038853333,0.118295333,0.02459
252,0.305135,0.53634,0.746396667,0.038114167,0.119099333,0.024803333
255,0.303569167,0.535459333,0.745843333,0.036819167,0.119650667,0.02431
258,0.302839167,0.534699333,0.745113333,0.035906667,0.12084,0.02561
261,0.303045833,0.533179333,0.74405,0.035214167,0.121098667,0.026793333
264,0.302738333,0.531153333,0.74468,0.034304167,0.120214,0.02662
267,0.302204167,0.531755333,0.74446,0.033676667,0.120932667,0.02733
270,0.302714167,0.531062,0.74254,0.034613333,0.121028,0.02996
273,0.302874167,0.52906,0.742916667,0.032656667,0.121367333,0.031813333
276,0.3025575,0.527943333,0.740866667,0.031821667,0.122188667,0.03339
279,0.3013075,0.526640667,0.74006,0.0300775,0.122794,0.035886667
282,0.300673333,0.524740667,0.737126667,0.029799167,0.122439333,0.038113333
285,0.301463333,0.523402,0.73732,0.0296225,0.122287333,0.040846667
288,0.301943333,0.523168,0.736843333,0.029153333,0.122053333,0.042266667
291,0.3024425,0.523072,0.73647,0.028473333,0.123523333,0.044413333
294,0.303329167,0.521956,0.735786667,0.028728333,0.123866,0.0475
297,0.30388,0.521741333,0.734686667,0.027775,0.12401,0.050543333
300,0.303940833,0.521524,0.73362,0.0260775,0.125698667,0.05261
303,0.304060833,0.521476667,0.73159,0.0266875,0.126168,0.054603333
306,0.303639167,0.519681333,0.729996667,0.0267825,0.12702,0.058163333
