Time (sec),500 nM IL-6,750 nM IL-6,1 uM IL-6,500 nM HSA,750 nM HSA,1 uM HSA
0,0,0,0,0,0,0
3,0.004530833,0.00088,0.0113075,0.002285833,0.000185833,-0.005640833
6,0.010454167,0.001415833,0.024569167,0.003571667,0.001165833,-0.010936667
9,0.017305,0.002148333,0.040376667,0.0046725,0.001271667,-0.015311667
12,0.024885833,0.003458333,0.058104167,0.00708,0.002675833,-0.020673333
15,0.032015,0.005560833,0.076325,0.0089975,0.001945833,-0.02549
18,0.0386375,0.0083625,0.093789167,0.010905,0.0020625,-0.030143333
21,0.045969167,0.0113325,0.110879167,0.012140833,0.002435833,-0.0337875
24,0.054055833,0.015646667,0.1265875,0.0106525,0.001133333,-0.038658333
27,0.061755,0.020661667,0.141444167,0.01035,-0.0008775,-0.0426175
30,0.068623333,0.028121667,0.155356667,0.007899167,-0.005031667,-0.046496667
33,0.07597,0.035756667,0.169035,0.0045175,-0.007866667,-0.05113
36,0.081675,0.04466,0.181074167,0.000331667,-0.013188333,-0.055431667
39,0.084940833,0.054546667,0.1912375,-0.004365,-0.0191225,-0.0618525
42,0.0872275,0.064618333,0.200091667,-0.009930833,-0.026774167,-0.068588333
45,0.089591667,0.074008333,0.208585,-0.015929167,-0.0335925,-0.076040833
48,0.091325833,0.085123333,0.2179175,-0.021133333,-0.0410425,-0.082243333
51,0.090866667,0.094944167,0.226345,-0.027948333,-0.048145,-0.089855
54,0.0895625,0.104220833,0.233755,-0.0325975,-0.055684167,-0.096905833
57,0.088745,0.113330833,0.240941667,-0.0386275,-0.062875833,-0.103815
60,0.088291667,0.121541667,0.246404167,-0.043241667,-0.069848333,-0.111314167
63,0.0859925,0.129858333,0.25148,-0.049775,-0.076906667,-0.118263333
66,0.084393333,0.138458333,0.255828333,-0.056016667,-0.082985,-0.126605
69,0.082584167,0.147360833,0.258803333,-0.062970833,-0.0894875,-0.134004167
72,0.081129167,0.155708333,0.260949167,-0.069415,-0.094905833,-0.1411075
75,0.078764167,0.163991667,0.262025833,-0.074996667,-0.101026667,-0.14722
78,0.076535,0.170056667,0.262803333,-0.090876667,-0.106849167,-0.1543525
81,0.075038333,0.176830833,0.262768333,-0.10584,-0.1141125,-0.160798333
84,0.071745,0.183296667,0.26358,-0.118426667,-0.11948,-0.1665675
87,0.068355833,0.188753333,0.262255,-0.1295975,-0.1255525,-0.173283333
90,0.064224167,0.193531667,0.2627025,-0.139553333,-0.130883333,-0.1797875
93,0.061694167,0.198505833,0.261725833,-0.147250833,-0.137126667,-0.1870625
96,0.058780833,0.201198333,0.260289167,-0.154563333,-0.142758333,-0.194193333
99,0.056358333,0.202539167,0.260245,-0.160930833,-0.147416667,-0.201219167
102,0.054278333,0.204064167,0.261138333,-0.167581667,-0.152114167,-0.207496667
105,0.051314167,0.20557,0.26224,-0.174221667,-0.157535833,-0.213040833
108,0.0472875,0.207505833,0.262025,-0.170649167,-0.163030833,-0.219269167
111,0.043359167,0.208524167,0.263201667,-0.166680833,-0.16619,-0.2251325
114,0.040119167,0.208739167,0.263751667,-0.16523,-0.170813333,-0.232233333
117,0.035393333,0.208558333,0.2674525,-0.163253333,-0.174745833,-0.236301667
120,0.030765833,0.207704167,0.269401667,-0.163945833,-0.177414167,-0.23907
123,0.024558333,0.205891667,0.2706975,-0.164339167,-0.180693333,-0.243711667
126,0.0179225,0.204805,0.273401667,-0.1650525,-0.183988333,-0.246790833
129,0.0116925,0.204741667,0.275934167,-0.165976667,-0.187730833,-0.248488333
132,0.005594167,0.204626667,0.278174167,-0.1669275,-0.190486667,-0.251311667
135,-0.000436667,0.204144167,0.280506667,-0.168355,-0.1910125,-0.2547975
138,-0.005895833,0.202816667,0.284145,-0.170156667,-0.192114167,-0.256875833
141,-0.0132425,0.202333333,0.286129167,-0.171009167,-0.193145,-0.259005
144,-0.020375,0.202943333,0.287430833,-0.172760833,-0.19299,-0.259835
147,-0.026620833,0.2024825,0.287195,-0.175359167,-0.1934275,-0.262321667
150,-0.034010833,0.203740833,0.2870225,-0.176700833,-0.194686667,-0.26457
153,-0.041259167,0.2053275,0.288033333,-0.17726,-0.1954825,-0.263543333
156,-0.047980833,0.206665,0.288085833,-0.177648333,-0.196035833,-0.264054167
159,-0.054746667,0.207279167,0.288621667,-0.178014167,-0.194565833,-0.264994167
162,-0.061915833,0.206690833,0.2880025,-0.178423333,-0.194588333,-0.2646175
165,-0.068175,0.206229167,0.286648333,-0.179434167,-0.194540833,-0.264090833
168,-0.073251667,0.2074475,0.2850725,-0.1813825,-0.1937125,-0.263269167
171,-0.079410833,0.20807,0.28351,-0.183240833,-0.19225,-0.263130833
174,-0.0837525,0.20653,0.283421667,-0.1837,-0.192054167,-0.262015833
177,-0.089234167,0.20591,0.282580833,-0.185708333,-0.191445833,-0.260208333
180,-0.093314167,0.204885,0.2827925,-0.186875833,-0.189693333,-0.259520833
183,-0.097580833,0.203719167,0.282005,-0.188764167,-0.18826,-0.26003
186,-0.100681667,0.2033275,0.2809275,-0.1900775,-0.185960833,-0.258605
189,-0.104600833,0.201975,0.279610833,-0.192716667,-0.185243333,-0.257740833
192,-0.107779167,0.200898333,0.278935833,-0.19528,-0.183194167,-0.2569475
195,-0.111560833,0.201374167,0.279359167,-0.196715,-0.183071667,-0.256013333
198,-0.115275833,0.19935,0.2795825,-0.196898333,-0.182159167,-0.256638333
201,-0.11537,0.197793333,0.279838333,-0.199170833,-0.181978333,-0.256289167
204,-0.117616667,0.1981675,0.279058333,-0.20089,-0.181936667,-0.256971667
207,-0.118165,0.198524167,0.278925,-0.201105833,-0.1808,-0.258499167
210,-0.119609167,0.198616667,0.27752,-0.201963333,-0.18059,-0.2597775
213,-0.120851667,0.198653333,0.277120833,-0.203665833,-0.1799525,-0.26059
216,-0.122471667,0.197704167,0.276609167,-0.205339167,-0.180180833,-0.262125
219,-0.123121667,0.197116667,0.275830833,-0.205981667,-0.181805833,-0.262410833
222,-0.1242275,0.196234167,0.276075,-0.206506667,-0.182161667,-0.26387
225,-0.124851667,0.194714167,0.275236667,-0.206830833,-0.1812425,-0.265195833
228,-0.1250675,0.194056667,0.274265833,-0.208141667,-0.182159167,-0.2660325
231,-0.126189167,0.192805833,0.273743333,-0.208998333,-0.1834175,-0.26785
234,-0.126608333,0.191673333,0.273359167,-0.2101975,-0.182281667,-0.269103333
237,-0.126594167,0.190886667,0.2733775,-0.212141667,-0.1832275,-0.270769167
240,-0.126221667,0.18994,0.27301,-0.2141675,-0.185276667,-0.271790833
243,-0.124801667,0.18911,0.2736125,-0.215118333,-0.18667,-0.272883333
246,-0.125025,0.189210833,0.2734175,-0.216315,-0.186129167,-0.274414167
249,-0.12541,0.189658333,0.273815,-0.216961667,-0.185204167,-0.276794167
252,-0.12505,0.190240833,0.27301,-0.218095833,-0.1869125,-0.277415
255,-0.125033333,0.189895833,0.27207,-0.219093333,-0.186748333,-0.278993333
258,-0.125889167,0.191234167,0.271815,-0.219770833,-0.186314167,-0.279278333
261,-0.126321667,0.191770833,0.271969167,-0.219085833,-0.186326667,-0.278199167
264,-0.126064167,0.19169,0.272225833,-0.218475833,-0.1884075,-0.278955
267,-0.126071667,0.191011667,0.271368333,-0.217580833,-0.188625833,-0.278015
270,-0.125061667,0.190495,0.272061667,-0.216544167,-0.187190833,-0.276675
273,-0.123459167,0.190211667,0.271475,-0.217428333,-0.185713333,-0.2740225
276,-0.1218825,0.189238333,0.271965,-0.216578333,-0.1854025,-0.270965
279,-0.1191225,0.188083333,0.270749167,-0.21659,-0.183956667,-0.268626667
282,-0.119065833,0.18792,0.270864167,-0.216775833,-0.18276,-0.2661625
285,-0.118243333,0.188438333,0.271783333,-0.2161475,-0.183034167,-0.262480833
288,-0.117346667,0.1882875,0.272095,-0.214611667,-0.1819825,-0.258638333
291,-0.117479167,0.187631667,0.2728275,-0.212899167,-0.181889167,-0.2551125
294,-0.117138333,0.187503333,0.272115833,-0.212086667,-0.180270833,-0.250428333
297,-0.117205833,0.1867725,0.272628333,-0.20992,-0.1783575,-0.245779167
300,-0.117540833,0.187635,0.272236667,-0.2076875,-0.178171667,-0.241293333
303,-0.11833,0.186443333,0.272026667,-0.2047275,-0.178930833,-0.238138333
306,-0.11842,0.186561667,0.27278,-0.2029975,-0.178888333,-0.2347925
309,-0.119226667,0.186065,0.2724125,-0.200759167,-0.180023333,-0.230621667
312,-0.117061667,0.186055833,0.273055,-0.197435,-0.178838333,-0.2267925
315,-0.115416667,0.184715833,0.272450833,-0.195600833,-0.177999167,-0.223216667
318,-0.114355,0.183015,0.272191667,-0.193968333,-0.177759167,-0.2201425
321,-0.112463333,0.182175,0.270658333,-0.19145,-0.1763625,-0.21759
324,-0.1118125,0.181151667,0.2716925,-0.189628333,-0.175609167,-0.213864167
327,-0.111739167,0.181265,0.271265,-0.189069167,-0.174804167,-0.210881667
330,-0.111339167,0.178644167,0.2716,-0.188759167,-0.173875833,-0.208068333
333,-0.112233333,0.178825,0.272304167,-0.187863333,-0.1728625,-0.204799167
336,-0.111988333,0.177334167,0.271874167,-0.187414167,-0.172435,-0.201721667
339,-0.1100825,0.177429167,0.27317,-0.186098333,-0.171311667,-0.199136667
342,-0.109845,0.1762975,0.271738333,-0.185479167,-0.170920833,-0.196760833
345,-0.10989,0.177386667,0.272456667,-0.184726667,-0.1697325,-0.194238333
348,-0.109963333,0.1776475,0.271796667,-0.1844125,-0.1696125,-0.1925275
351,-0.1091925,0.177045,0.272468333,-0.185598333,-0.168139167,-0.1893575
354,-0.108738333,0.176395,0.270515,-0.184805,-0.167524167,-0.18782
